65,0 1443,0 701,0 1,0 24,999999999999908
11,0 708,0 74,0 54,0 52,60915327194657
28,0 84,0 652,0 12,0 23,09385761436529
99,0 1417,0 452,0 81,0 34,999999999999645
-8,0 103,0 736,0 120,0 53,09386240601527
51,0 1279,0 267,0 114,0 45,81855409589146
105,0 1190,0 212,0 12,0 52,942366702997234
104,0 1496,0 507,0 126,0 33,54391766319321
-17,0 1304,0 118,0 35,0 53,31330661322691
-2,0 14,0 516,0 39,0 38,87392813651792
77,0 736,0 693,0 139,0 24,9999999999997
108,0 1236,0 635,0 73,0 24,999999999999908
91,0 1499,0 760,0 20,0 24,999999999999908
104,0 89,0 448,0 97,0 12,653157285639136
113,0 332,0 38,0 135,0 51,468851920482365
130,0 409,0 324,0 60,0 28,959920066677885
24,0 641,0 536,0 3,0 41,068973687613706
137,0 1453,0 775,0 91,0 24,999999999999908
38,0 1417,0 749,0 85,0 25,000010770104023
22,0 1275,0 377,0 23,0 52,66655895105658
41,0 569,0 108,0 35,0 53,25434822242512
79,0 1403,0 390,0 10,0 52,85532504609575
37,0 503,0 142,0 45,0 53,31330661322691
18,0 808,0 657,0 54,0 34,999999999999694
130,0 574,0 615,0 76,0 5,000103536456052
42,0 392,0 73,0 6,0 52,582494353506554
-10,0 276,0 379,0 101,0 53,31330661322691
19,0 47,0 510,0 16,0 33,58455882352934
39,0 1179,0 598,0 8,0 25,52671752474528
125,0 928,0 191,0 45,0 53,263523408490066
101,0 1387,0 96,0 27,0 53,09386240601527
-14,0 1237,0 500,0 9,0 53,31330661322691
40,0 445,0 141,0 20,0 53,31330661322691
81,0 374,0 536,0 114,0 20,04482163056402
98,0 670,0 145,0 75,0 53,31330661322691
74,0 371,0 512,0 28,0 31,785980979790093
17,0 271,0 713,0 134,0 12,536552931244039
134,0 1251,0 514,0 107,0 33,05917549907216
-9,0 325,0 198,0 82,0 53,25434822242512
23,0 488,0 314,0 138,0 35,00000054700053
-17,0 940,0 545,0 18,0 53,31330661322691
68,0 1221,0 468,0 29,0 52,50841224413639
106,0 962,0 726,0 65,0 24,999998062516045
116,0 75,0 457,0 29,0 24,99999422387434
-5,0 561,0 408,0 85,0 52,206648817635674
117,0 266,0 718,0 89,0 5,0000959531851645
103,0 1411,0 429,0 34,0 52,259104886301266
46,0 1120,0 350,0 102,0 34,99999999999976
40,0 378,0 80,0 121,0 52,761506883604895
63,0 1046,0 167,0 22,0 53,31330661322691
-7,0 1433,0 645,0 102,0 52,85532504609575
23,0 50,0 190,0 85,0 53,27198756747962
82,0 690,0 101,0 82,0 53,17138203589893
69,0 35,0 634,0 122,0 5,0001458949831346
27,0 131,0 678,0 140,0 25,0
18,0 742,0 668,0 106,0 34,99997794429873
121,0 1325,0 369,0 23,0 52,53912351113462
65,0 777,0 636,0 23,0 25,000016115411842
35,0 816,0 356,0 27,0 52,31585090867034
24,0 1393,0 294,0 92,0 36,60202552243408
105,0 822,0 574,0 120,0 27,355159805274415
119,0 831,0 528,0 7,0 38,61979483785618
39,0 827,0 383,0 50,0 51,33403853233559
109,0 768,0 155,0 45,0 53,31330661322691
93,0 1090,0 761,0 99,0 24,999999999999908
48,0 21,0 56,0 112,0 52,081136222338216
12,0 1370,0 368,0 77,0 34,99999999999972
122,0 495,0 645,0 5,0 24,99999917292326
128,0 808,0 257,0 132,0 49,364146811093185
81,0 881,0 705,0 86,0 25,000006480194052
136,0 918,0 539,0 73,0 30,110428272693902
109,0 1101,0 632,0 51,0 24,999999999999908
57,0 1494,0 440,0 60,0 39,39291853802853
43,0 1341,0 73,0 49,0 52,582494353506554
124,0 255,0 380,0 80,0 12,583989218328902
117,0 557,0 326,0 117,0 24,999999999999975
5,0 1303,0 565,0 112,0 34,99998462476452
130,0 1227,0 403,0 51,0 49,607258454771625
23,0 450,0 517,0 48,0 43,54730180844765
46,0 615,0 800,0 10,0 24,999982789941566
76,0 1245,0 102,0 42,0 53,18514585333477
137,0 129,0 132,0 3,0 53,31330661322691
77,0 214,0 157,0 60,0 53,31330661322691
128,0 1209,0 623,0 131,0 24,999999999999908
-12,0 672,0 76,0 67,0 53,31330661322691
59,0 525,0 520,0 12,0 32,30584410515689
45,0 635,0 699,0 30,0 24,99997516422446
115,0 126,0 796,0 120,0 5,000159999999998
100,0 1252,0 170,0 100,0 53,31330661322691
129,0 860,0 155,0 120,0 53,31330661322691
72,0 670,0 234,0 84,0 52,38655719907776
-3,0 116,0 116,0 136,0 53,30675894336329
110,0 1059,0 366,0 97,0 34,999999999999666
112,0 1083,0 406,0 93,0 34,99999999999972
103,0 1079,0 523,0 36,0 39,82259628294418
-13,0 169,0 118,0 84,0 53,31330661322691
31,0 596,0 618,0 88,0 5,000209670517755
105,0 601,0 293,0 14,0 36,88536973540659
-18,0 1473,0 739,0 74,0 53,31330661322691
56,0 1368,0 95,0 74,0 53,07669674352555
71,0 762,0 398,0 48,0 51,45858216030942
119,0 969,0 250,0 6,0 51,88522324411691
64,0 698,0 450,0 138,0 33,72475232316973
139,0 518,0 355,0 24,0 35,000012293769025
88,0 441,0 94,0 122,0 53,05900638052184
57,0 834,0 357,0 70,0 34,999999999999524
29,0 1274,0 218,0 101,0 52,809228671497216
114,0 948,0 746,0 66,0 24,999999945749785
0,0 922,0 292,0 71,0 37,17346998036817
47,0 1321,0 266,0 133,0 46,174144945452916
6,0 478,0 15,0 43,0 50,59607538461577
67,0 1374,0 65,0 113,0 52,357306578917566
140,0 113,0 416,0 112,0 12,643589952904234
